event_id,event_parent,title,event_title,event_abstract,type,date,start_time,end_time,location,track,description,speakers,chair,keywords,virtual_link,recording
registration,,Registration & Check-in,,,break,2026-06-15,08:00,09:00,Main Lobby,,Coffee and pastries available.,,,,,
welcome,,Welcome & Opening Remarks,,,keynote,2026-06-15,09:00,09:30,Main Auditorium,,"Opening remarks from conference organizers and welcome to attendees.",smith-jane,,,https://zoom.us/j/123456,
keynote-1,,Opening Keynote,Fire Lookouts in the Digital Age,"This keynote explores how digital technologies are transforming our understanding and preservation of historic fire lookout structures. Drawing on case studies from across the American West, we examine the intersection of cultural heritage, environmental monitoring, and community engagement.",keynote,2026-06-15,09:30,10:30,Main Auditorium,,"This keynote explores how digital technologies are transforming our understanding and preservation of historic fire lookout structures. Drawing on case studies from across the American West, we examine the intersection of cultural heritage, environmental monitoring, and community engagement.",doe-john,,digital preservation;cultural heritage;fire lookouts,https://zoom.us/j/123456,
break-1,,Coffee Break,,,break,2026-06-15,10:30,11:00,Atrium,,Refreshments provided.,,,,,
panel-a1,,Digital Documentation Methods,,,panel,2026-06-15,11:00,12:30,Room 101,Digital Methods,"A panel session exploring emerging methods for documenting historic lookout structures using photogrammetry, LiDAR, and other digital capture technologies.",,garcia-maria,photogrammetry;LiDAR;3D modeling,https://zoom.us/j/234567,
panel-a1-pres1,panel-a1,Digital Documentation Methods,3D Photogrammetry for Historic Structures,"A presentation on emerging methods for documenting historic lookout structures using photogrammetry and creating detailed 3D models for preservation planning.",presentation,2026-06-15,11:00,11:30,Room 101,Digital Methods,,wilson-mary,,photogrammetry;3D modeling;preservation,https://zoom.us/j/234567,
panel-a1-pres2,panel-a1,Digital Documentation Methods,LiDAR Applications in Remote Forest Lookouts,"Examining the use of LiDAR technology to document fire lookout structures in remote wilderness areas where traditional surveying methods are impractical.",presentation,2026-06-15,11:30,12:00,Room 101,Digital Methods,,johnson-robert,,LiDAR;remote sensing;documentation,https://zoom.us/j/234567,
panel-a1-pres3,panel-a1,Digital Documentation Methods,Adaptive Reuse and Digital Documentation,"How digital documentation techniques inform adaptive reuse decisions for historic fire lookout structures, balancing preservation with modern functionality.",presentation,2026-06-15,12:00,12:30,Room 101,Digital Methods,,chen-lisa,,adaptive reuse;digital documentation;architecture,https://zoom.us/j/234567,
panel-b1,,Community Engagement & Oral Histories,,,panel,2026-06-15,11:00,12:30,Room 102,Community,"Exploring methodologies for collecting and preserving oral histories from former lookout operators and engaging local communities in preservation efforts.",,martinez-carlos,oral history;community engagement;memory,https://zoom.us/j/345678,
panel-b1-pres1,panel-b1,Community Engagement & Oral Histories,Documenting the Human Experience,"Methodologies for collecting and preserving oral histories from former lookout operators, capturing their unique perspectives on wilderness work and solitude.",presentation,2026-06-15,11:00,11:30,Room 102,Community,,brown-david,,oral history;documentation;methodology,https://zoom.us/j/345678,
panel-b1-pres2,panel-b1,Community Engagement & Oral Histories,Volunteer Networks and Lookout Preservation,"How volunteer networks and community organizations contribute to the preservation and interpretation of historic fire lookout structures across North America.",presentation,2026-06-15,11:30,12:00,Room 102,Community,,taylor-susan,,volunteering;preservation;networks,https://zoom.us/j/345678,
lunch,,Lunch Break,,,break,2026-06-15,12:30,14:00,Dining Hall,,On your own. See venue page for local recommendations.,,,,,
